Time,SS_22_State_St__North_Side,SS_23_State_St__South_Side,F200_State_St____Goodman_s,F200_State_St____Art_Center,F341_State_St_,F344_State_St_
2020-06-01 00:00:00,32,25,40,36,79.0,15815
2020-06-01 01:00:00,33,14,58,19,150.0,15816
2020-06-01 02:00:00,15,10,18,11,51.0,15817
2020-06-01 03:00:00,1,8,3,6,17.0,15818
2020-06-01 04:00:00,4,1,5,4,4.0,15819
2020-06-01 05:00:00,7,8,9,14,12.0,15820
2020-06-01 06:00:00,32,34,24,38,29.0,15821
2020-06-01 07:00:00,48,34,38,43,47.0,15822
2020-06-01 08:00:00,64,56,61,68,94.0,15823
2020-06-01 09:00:00,80,64,77,74,62.0,15824
2020-06-01 10:00:00,98,63,87,89,109.0,15825
2020-06-01 11:00:00,129,110,98,126,154.0,15826
2020-06-01 12:00:00,131,133,98,123,166.0,15827
2020-06-01 13:00:00,193,195,171,113,127.0,15828
2020-06-01 14:00:00,163,211,159,142,159.0,15829
2020-06-01 15:00:00,139,191,139,170,201.0,15830
2020-06-01 16:00:00,155,172,142,174,223.0,15831
2020-06-01 17:00:00,194,191,146,199,199.0,15832
2020-06-01 18:00:00,156,142,136,130,215.0,15833
2020-06-01 19:00:00,163,146,116,79,219.0,15834
2020-06-01 20:00:00,250,435,156,191,432.0,15835
2020-06-01 21:00:00,330,371,169,197,406.0,15836
2020-06-01 22:00:00,157,197,92,102,126.0,15837
2020-06-01 23:00:00,276,280,88,112,125.0,15838
2020-06-02 00:00:00,240,181,97,95,89.0,15839
2020-06-02 01:00:00,152,144,103,180,266.0,15840
2020-06-02 02:00:00,8,0,6,8,24.0,15841
2020-06-02 03:00:00,3,2,3,2,0.0,15842
2020-06-02 04:00:00,17,3,5,0,3.0,15843
2020-06-02 05:00:00,2,10,4,11,10.0,15844
2020-06-02 06:00:00,22,38,22,41,26.0,15845
2020-06-02 07:00:00,53,51,49,61,70.0,15846
2020-06-02 08:00:00,110,81,78,91,99.0,15847
2020-06-02 09:00:00,129,99,98,123,131.0,15848
2020-06-02 10:00:00,139,131,112,123,142.0,15849
2020-06-02 11:00:00,161,172,133,176,183.0,15850
2020-06-02 12:00:00,212,216,156,197,61.0,15851
2020-06-02 13:00:00,222,191,131,159,135.0,15852
2020-06-02 14:00:00,173,222,116,152,230.0,15853
2020-06-02 15:00:00,145,192,38,138,230.0,15854
2020-06-02 16:00:00,156,139,28,165,202.0,15855
